concert_name,artists,date,time,city,state,price_min,price_max
Breaking Benjamin,"['Breaking Benjamin', 'Chevelle', 'Dorothy', 'Diamante', 'Three Days Grace']",2019-08-04,17:30:00,Darien Center,NY,29.5,29.5
PRETTYMUCH: FOMO Tour,"['PRETTYMUCH', 'Mackenzie Ziegler']",2019-07-23,19:00:00,New York,NY,39.95,39.95
Breaking Benjamin,"['Breaking Benjamin', 'Chevelle', 'Three Days Grace', 'Dorothy', 'Diamante']",2019-07-30,17:30:00,Saratoga Springs,NY,29.5,29.5
The Smashing Pumpkins & Noel Gallagher's High Flying Birds,"['The Smashing Pumpkins', ""Noel Gallagher's High Flying Birds"", 'AFI']",2019-08-09,19:00:00,Wantagh,NY,29.5,29.5
Beck and Cage the Elephant: The Night Running Tour,"['Beck', 'Cage the Elephant', 'Spoon', 'Sunflower Bean']",2019-08-13,18:00:00,Darien Center,NY,29.5,29.5
KoRn & Alice In Chains,"['Korn', 'Alice in Chains', 'Underoath', 'Ho99o9']",2019-08-11,18:30:00,Saratoga Springs,NY,29.5,29.5
311 & Dirty Heads,"['311', 'Dirty Heads', 'Dreamers', 'The Interrupters']",2019-07-20,17:45:00,Darien Center,NY,26.0,26.0
Heart: Love Alive Tour,"['Heart', 'Sheryl Crow']",2019-07-29,19:00:00,Bethel,NY,40.5,40.5
Elvis Costello & The Imposters And Blondie,"['Elvis Costello & the Imposters', 'Blondie']",2019-07-20,19:00:00,Bethel,NY,N/A,N/A
311 & Dirty Heads,"['311', 'Dirty Heads', 'The Interrupters', 'Dreamers', 'Bikini Trill']",2019-07-26,17:45:00,Wantagh,NY,29.5,29.5
The Smashing Pumpkins & Noel Gallagher's High Flying Birds,"['The Smashing Pumpkins', ""Noel Gallagher's High Flying Birds"", 'AFI']",2019-08-10,19:00:00,Darien Center,NY,29.5,29.5
Bryan Adams & Billy Idol,"['Bryan Adams', 'Billy Idol']",2019-08-06,20:00:00,Syracuse,NY,25.0,25.0
Bryan Adams & Billy Idol,"['Bryan Adams', 'Billy Idol']",2019-08-09,20:00:00,Darien Center,NY,25.0,25.0
Khalid Free Spirit World Tour,"['Khalid', 'Clairo']",2019-08-01,19:30:00,New York,NY,59.95,59.95
Joe Bonamassa,['Joe Bonamassa'],2019-07-30,20:00:00,Bethel,NY,83.5,83.5
Steve Miller Band & Marty Stuart,"['Steve Miller Band', 'Marty Stuart', 'Matt Andersen']",2019-07-24,18:30:00,New York,NY,69.5,69.5
Ticket To Rock,"['Ticket To Rock', 'Slipknot', 'Korn', 'Alice in Chains', 'Breaking Benjamin', 'Behemoth', 'Chevelle', 'Gojira', 'Underoath', 'Volbeat']",2019-08-02,19:00:00,Darien Center,NY,59.0,59.0
Rob Thomas: Chip Tooth Tour,"['Rob Thomas', 'Abby Anderson']",2019-07-24,19:30:00,Saratoga Springs,NY,43.0,43.0
Sheryl Crow,"['Sheryl Crow', 'Patrick Droney']",2019-07-28,19:00:00,New York,NY,N/A,N/A
Frankie Valli and the Four Seasons,['Frankie Valli'],2019-07-20,20:00:00,Farmingville,NY,29.5,29.5
Why Don't We,"[""Why Don't We"", 'EBEN']",2019-08-06,19:00:00,Albany,NY,39.5,39.5
Ben Folds & Violent Femmes,"['Ben Folds', 'Violent Femmes', 'Savannah Conley']",2019-08-01,18:30:00,New York,NY,59.5,59.5
Bryan Ferry,"['Bryan Ferry', 'Femme Schmidt']",2019-08-09,20:00:00,New York,NY,45.5,45.5
Alice Cooper & Halestorm,"['Alice Cooper', 'Halestorm', 'Motionless In White']",2019-08-07,19:00:00,Canandaigua,NY,19.0,19.0
Rob Thomas: Chip Tooth Tour,"['Rob Thomas', 'Abby Anderson']",2019-07-21,19:00:00,Canandaigua,NY,12.0,12.0
Godsmack,"['Godsmack', 'New Years Day']",2019-07-23,20:00:00,New York,NY,N/A,N/A
Rob Thomas: Chip Tooth Tour,"['Rob Thomas', 'Abby Anderson']",2019-07-23,19:30:00,Syracuse,NY,38.0,38.0
Rob Thomas: Chip Tooth Tour,"['Rob Thomas', 'Abby Anderson']",2019-07-29,19:30:00,New York,NY,63.5,63.5
The Struts: Young & Dangerous Tour 2019,"['The Struts', 'The Glorious Sons', 'Bones UK']",2019-07-27,18:30:00,New York,NY,32.5,32.5
The Stray Cats - 40th Anniversary Tour,"['Stray Cats', 'James Hunter']",2019-08-06,19:00:00,New York,NY,68.5,68.5
Alice Cooper & Halestorm,"['Alice Cooper', 'Halestorm', 'Motionless In White']",2019-08-08,19:00:00,Bethel,NY,38.5,38.5
Joe Bonamassa,['Joe Bonamassa'],2019-07-27,20:00:00,Saratoga Springs,NY,65.0,65.0
Papa Roach: Who Do You Trust Tour,"['Papa Roach', 'Asking Alexandria', 'Bad Wolves']",2019-08-11,18:00:00,New York,NY,59.5,59.5
Ticket To Rock,"['Ticket To Rock', 'Slipknot', 'Korn', 'Alice in Chains', 'Breaking Benjamin', 'Behemoth', 'Chevelle', 'Gojira']",2019-07-30,10:00:00,Saratoga Springs,NY,59.0,59.0
Bad Religion,"['Bad Religion', 'The Explosion']",2019-08-02,19:00:00,New York,NY,35.0,35.0
