concert_name,artists,date,time,city,state,price_min,price_max
Zac Brown Band: The Owl Tour,"['Zac Brown Band', 'Caroline Jones']",2019-08-24,19:00:00,Wantagh,NY,109.0,109.0
Rocks Off Presents the Aquabats,"['Koo Koo Kanga Roo', 'MC Lars']",2019-09-20,19:00:00,Brooklyn,NY,N/A,N/A
SHAWN MENDES: THE TOUR,"['Shawn Mendes', 'Alessia Cara']",2019-08-24,19:30:00,Brooklyn,NY,29.5,29.5
Jonas Brothers: Happiness Begins Tour,"['Jonas Brothers', 'Bebe Rexha', 'Jordan McGraw']",2019-08-29,19:30:00,New York,NY,109.95,109.95
Backstreet Boys: DNA World Tour,"['Backstreet Boys', 'Baylee Littrell']",2019-08-15,20:00:00,Brooklyn,NY,76.0,76.0
Jonas Brothers: Happiness Begins Tour,"['Jonas Brothers', 'Bebe Rexha', 'Jordan McGraw']",2019-08-30,19:30:00,New York,NY,109.95,109.95
Billy Joel - In Concert,['Billy Joel'],2019-08-28,20:00:00,New York,NY,65.5,65.5
Vampire Weekend: Father Of The Bride Tour,"['Vampire Weekend', 'Angelique Kidjo', 'Despot']",2019-09-06,18:30:00,New York,NY,20.21,20.21
Santana: Supernatural Now,"['Santana', 'The Doobie Brothers']",2019-08-17,19:00:00,Bethel,NY,70.0,70.0
The Who: Moving On!,['The Who'],2019-09-15,19:30:00,Wantagh,NY,76.5,76.5
Tame Impala,"['Tame Impala', 'Velvet Negroni']",2019-08-21,20:00:00,New York,NY,49.5,49.5
Lynyrd Skynyrd: Last of the Street Survivors Farewell Tour,"['Lynyrd Skynyrd', 'Hank Williams, Jr.', 'Wild Adriatic']",2019-08-31,18:00:00,Saratoga Springs,NY,29.5,29.5
SHAWN MENDES: THE TOUR,"['Shawn Mendes', 'Alessia Cara']",2019-08-23,19:30:00,Brooklyn,NY,29.5,29.5
Santana: Supernatural Now,"['Santana', 'The Doobie Brothers']",2019-08-25,19:00:00,Wantagh,NY,39.0,39.0
KISS: End of the Road World Tour,['Kiss'],2019-08-24,19:30:00,Saratoga Springs,NY,20.0,20.0
Florida Georgia Line: Can't Say I Ain't Country Tour 2019,"['Florida Georgia Line', 'Dan + Shay', 'Morgan Wallen', 'Canaan Smith']",2019-08-24,19:00:00,Darien Center,NY,74.25,74.25
Florida Georgia Line: Can't Say I Ain't Country Tour,"['Florida Georgia Line', 'Dan + Shay', 'Morgan Wallen', 'Canaan Smith']",2019-08-15,19:00:00,Syracuse,NY,31.0,31.0
KISS: End of the Road World Tour,['Kiss'],2019-08-23,19:30:00,Darien Center,NY,39.5,39.5
Mark Knopfler,['Mark Knopfler'],2019-08-20,20:00:00,New York,NY,70.0,70.0
Santana: Supernatural Now,"['Santana', 'The Doobie Brothers']",2019-08-23,19:00:00,Saratoga Springs,NY,46.5,46.5
Peter Frampton FINALE - The Farewell Tour,"['Peter Frampton', ""Jason Bonham's Led Zeppelin Evening""]",2019-09-13,19:30:00,New York,NY,59.5,59.5
Jonas Brothers: Happiness Begins Tour,"['Jonas Brothers', 'Bebe Rexha', 'Jordan McGraw']",2019-08-27,19:30:00,Buffalo,NY,N/A,N/A
Brandi Carlile,"['Brandi Carlile', 'Mavis Staples']",2019-09-14,20:00:00,New York,NY,25.0,25.0
KISS: End of the Road World Tour,['Kiss'],2019-08-20,19:30:00,Brooklyn,NY,39.5,39.5
"Tyler, The Creator","['Tyler, The Creator', 'Jaden Smith', 'GoldLink']",2019-09-12,19:00:00,New York,NY,39.5,39.5
TK99 presents KISS: End of the Road World Tour,['Kiss'],2019-08-27,19:30:00,Syracuse,NY,20.0,20.0
The Who: Moving On!,['The Who'],2019-09-01,19:30:00,New York,NY,99.0,99.0
Tame Impala,"['Tame Impala', 'Velvet Negroni']",2019-08-22,20:00:00,New York,NY,49.5,49.5
Jonas Brothers: Happiness Begins Tour,"['Jonas Brothers', 'Bebe Rexha', 'Jordan McGraw']",2019-08-19,19:30:00,Albany,NY,35.95,35.95
Ringo Starr and His All Starr Band,"['Ringo Starr and His All Starr Band', 'The Edgar Winter Band', 'Blood, Sweat & Tears']",2019-08-16,19:00:00,Bethel,NY,31.49,31.49
Thomas Rhett: Very Hot Summer Tour 2019,"['Thomas Rhett', 'Dustin Lynch', 'Russell Dickerson', 'Rhett Akins']",2019-09-20,19:00:00,New York,NY,35.75,35.75
blink-182 & Lil Wayne,"['blink-182', 'Lil Wayne', 'Neck Deep']",2019-09-20,20:00:00,Brooklyn,NY,42.0,42.0
Mary J. Blige & Nas,"['Mary J. Blige', 'Nas']",2019-08-28,20:00:00,Brooklyn,NY,30.99,30.99
Daryl Hall & John Oates,['Daryl Hall & John Oates'],2019-08-15,19:00:00,Canandaigua,NY,18.0,18.0
KROCK Presents Breaking Benjamin,"['Breaking Benjamin', 'Chevelle', 'Three Days Grace', 'Dorothy', 'Diamante']",2019-08-24,17:30:00,Syracuse,NY,10.0,10.0
Cardi B,['Cardi B'],2019-09-07,20:00:00,Syracuse,NY,N/A,N/A
Cardi B,['Cardi B'],2019-09-06,19:30:00,Saratoga Springs,NY,N/A,N/A
Mark Knopfler,['Mark Knopfler'],2019-08-21,20:00:00,New York,NY,70.0,70.0
Bush & +LIVE+ - The Altimate Tour,"['Bush', '+LIVE+', 'Our Lady Peace']",2019-08-29,19:00:00,Wantagh,NY,25.0,25.0
DoNYC Presents James Arthur,['James Arthur'],2019-09-22,19:00:00,New York,NY,25.0,25.0
Madonna - Madame X Tour,['Madonna'],2019-09-12,20:30:00,Brooklyn,NY,50.0,50.0
John Fogerty: My 50 Year Trip,"['John Fogerty', 'Tedeschi Trucks Band', 'Grace Potter']",2019-08-18,18:00:00,Bethel,NY,45.0,45.0
Zac Brown Band: The Owl Tour,"['Zac Brown Band', 'Caroline Jones']",2019-08-23,19:00:00,Wantagh,NY,44.5,44.5
Pentatonix: The World Tour with special guest Rachel Platten,"['Pentatonix', 'Rachel Platten']",2019-08-27,19:30:00,Canandaigua,NY,18.0,18.0
Chris Brown - Indigoat Tour 2019,"['Chris Brown', 'Tory Lanez', 'Ty Dolla $ign', 'Joyner Lucas', 'Yella Beezy']",2019-09-14,18:30:00,Brooklyn,NY,43.5,43.5
Ringo Starr and His All Starr Band,['Ringo Starr and His All Starr Band'],2019-08-17,19:30:00,Farmingville,NY,29.5,29.5
John Fogerty: My 50 Year Trip,"['John Fogerty', 'The Allman Betts Band']",2019-08-15,20:00:00,New York,NY,39.0,39.0
Lenny Kravitz,['Lenny Kravitz'],2019-08-27,20:00:00,New York,NY,69.5,69.5
Peter Frampton FINALE - The Farewell Tour,"['Peter Frampton', ""Jason Bonham's Led Zeppelin Evening""]",2019-09-01,19:30:00,Saratoga Springs,NY,29.5,29.5
Breaking Benjamin,"['Breaking Benjamin', 'Chevelle', 'Dorothy', 'Diamante']",2019-08-31,17:30:00,Wantagh,NY,25.0,25.0
ZZ Top - 50th Anniversary Tour,"['ZZ Top', 'Cheap Trick']",2019-09-19,19:00:00,Wantagh,NY,29.5,29.5
Zac Brown Band: The Owl Tour,"['Zac Brown Band', 'Lukas Nelson and Promise of the Real']",2019-08-30,19:00:00,Saratoga Springs,NY,20.0,20.0
Pentatonix: The World Tour with special guest Rachel Platten,"['Pentatonix', 'Rachel Platten']",2019-08-31,19:30:00,Bethel,NY,34.5,34.5
The Raconteurs,"['The Raconteurs', 'Olivia Jean']",2019-09-07,20:00:00,Brooklyn,NY,N/A,N/A
The Raconteurs,['The Raconteurs'],2019-09-06,20:00:00,New York,NY,N/A,N/A
Madonna - Madame X Tour,['Madonna'],2019-09-14,20:30:00,Brooklyn,NY,50.0,50.0
Social Distortion & Flogging Molly: Summer Tour 2019,"['Social Distortion', 'Flogging Molly', 'Le Butcherettes', 'The Devil Makes Three']",2019-08-25,17:00:00,New York,NY,49.5,49.5
Squeeze - The Squeeze Songbook Tour,"['Squeeze', 'They Might Be Giants']",2019-08-24,18:30:00,New York,NY,49.5,49.5
Jason Aldean: Ride All Night Tour 2019,"['Jason Aldean', 'Kane Brown', 'Carly Pearce', 'Dee Jay Silver']",2019-09-05,19:30:00,Saratoga Springs,NY,28.5,28.5
Ringo Starr and His All Starr Band,['Ringo Starr and His All Starr Band'],2019-08-18,19:30:00,New York,NY,99.5,99.5
The Raconteurs,['The Raconteurs'],2019-09-05,20:00:00,New York,NY,79.5,79.5
Madonna - Madame X Tour,['Madonna'],2019-09-21,20:30:00,Brooklyn,NY,50.0,50.0
Jason Aldean: Ride All Night Tour 2019,"['Jason Aldean', 'Kane Brown', 'Carly Pearce', 'Dee Jay Silver']",2019-09-06,19:30:00,Wantagh,NY,38.0,38.0
Marco Antonio Solis: La Historia Continua 2019,['Marco Antonio Solis'],2019-08-17,20:00:00,New York,NY,69.0,69.0
2019 PENTAGON World Tour 'PRISM' in New York City,['PENTAGON'],2019-09-05,20:00:00,New York,NY,45.0,45.0
The Beach Boys,['The Beach Boys'],2019-08-22,19:30:00,Canandaigua,NY,15.0,15.0
Madonna - Madame X Tour,['Madonna'],2019-09-15,20:30:00,Brooklyn,NY,50.0,50.0
Dr. Dog & Shakey Graves,"['Dr. Dog', 'Shakey Graves', 'Liz Cooper & The Stampede']",2019-09-14,18:30:00,New York,NY,40.0,40.0
Bush & +LIVE+ - The Altimate Tour,"['Bush', '+LIVE+', 'Our Lady Peace']",2019-08-30,19:00:00,Bethel,NY,34.0,34.0
Madonna - Madame X Tour,['Madonna'],2019-09-17,20:30:00,Brooklyn,NY,50.0,50.0
Two Door Cinema Club,['Two Door Cinema Club'],2019-09-13,20:00:00,New York,NY,39.5,39.5
"Knotfest Roadshow featuring: Slipknot, Volbeat, Gojira, Behemoth","['Slipknot', 'Volbeat', 'Gojira', 'Behemoth']",2019-08-25,17:30:00,Darien Center,NY,39.5,39.5
"The Mighty Mighty Bosstones with Bedouin Soundclash, On The Cinder","['The Mighty Mighty Bosstones', 'Bedouin Soundclash']",2019-08-22,20:00:00,Rochester,NY,25.0,25.0
Shinedown - ATTENTION ATTENTION World Tour,"['Shinedown', 'Papa Roach', 'Asking Alexandria', 'Savage After Midnight']",2019-09-20,18:30:00,Albany,NY,45.5,45.5
Banda MS Tour Con Todas Las Fuerzas,['Banda MS'],2019-09-07,20:00:00,New York,NY,57.0,57.0
Pat Benatar & Neil Giraldo And Melissa Etheridge,"['Pat Benatar & Neil Giraldo', 'Melissa Etheridge']",2019-08-25,19:30:00,Bethel,NY,30.0,30.0
Madonna - Madame X Tour,['Madonna'],2019-09-19,20:30:00,Brooklyn,NY,50.0,50.0
Daughtry,['Daughtry'],2019-08-30,20:00:00,Verona,NY,29.0,29.0
Pat Benatar & Neil Giraldo And Melissa Etheridge,"['Pat Benatar & Neil Giraldo', 'Melissa Etheridge']",2019-08-28,19:30:00,Huntington,NY,79.5,79.5
Phantogram,['Phantogram'],2019-09-05,20:00:00,Brooklyn,NY,35.0,35.0
Mary J. Blige & Nas,"['Mary J. Blige', 'Nas']",2019-08-31,20:00:00,Syracuse,NY,20.0,20.0
Santana: Supernatural Now,['Santana'],2019-08-16,19:00:00,Darien Center,NY,46.5,46.5
This Wild Life,['This Wild Life'],2019-09-08,18:30:00,Brooklyn,NY,N/A,N/A
Jefferson Starship,['Jefferson Starship'],2019-08-30,20:00:00,Riverhead,NY,N/A,N/A
Lara Fabian 50 WORLD TOUR,['Lara Fabian'],2019-09-16,20:00:00,New York,NY,89.0,89.0
Illenium,['Illenium'],2019-09-21,20:00:00,New York,NY,29.5,29.5
This Wild Life,['This Wild Life'],2019-09-19,19:30:00,Buffalo,NY,N/A,N/A
Ben Harper & The Innocent Criminals / Trombone Shorty & Orleans Avenue,"['Ben Harper & The Innocent Criminals', 'Trombone Shorty & Orleans Avenue', 'Jessy Wilson']",2019-08-26,18:30:00,New York,NY,59.5,59.5
Daughtry with special guest Augustana,"['Daughtry', 'Augustana']",2019-08-25,20:00:00,Westbury,NY,49.5,49.5
Thomas Rhett: Very Hot Summer Tour 2019,"['Thomas Rhett', 'Dustin Lynch', 'Russell Dickerson', 'Rhett Akins']",2019-09-21,19:00:00,Albany,NY,30.75,30.75
"Knotfest Roadshow featuring: Slipknot, Volbeat, Gojira, Behemoth","['Slipknot', 'Volbeat', 'Gojira', 'Behemoth']",2019-08-28,17:30:00,Wantagh,NY,29.5,29.5
Lindsey Stirling,['Lindsey Stirling'],2019-09-05,19:00:00,New York,NY,39.5,39.5
ZZ Top,['ZZ Top'],2019-09-17,19:30:00,Syracuse,NY,57.0,57.0
Chris Brown - Indigoat Tour 2019,"['Chris Brown', 'Tory Lanez', 'Ty Dolla $ign', 'Joyner Lucas', 'Yella Beezy']",2019-09-10,18:30:00,Buffalo,NY,N/A,N/A
Stone Temple Pilots and Rival Sons,"['Stone Temple Pilots', 'Rival Sons']",2019-09-22,19:00:00,Brooklyn,NY,25.0,25.0
Hot Autumn Nights,"['Hot Autumn Nights', 'Herman Hermits', 'Peter Noone', 'The Association', 'Gary Lewis and the Playboys']",2019-09-14,20:00:00,Westbury,NY,N/A,N/A
Babymetal,['BABYMETAL'],2019-09-15,20:00:00,New York,NY,N/A,N/A
Hot Autumn Nights,"['Hot Autumn Nights', 'Herman Hermits', 'Peter Noone', 'The Association', 'Gary Lewis and the Playboys']",2019-09-14,20:00:00,Westbury,NY,N/A,N/A
Foreigner,['Foreigner'],2019-08-27,18:30:00,Lewiston,NY,N/A,N/A
Lizzo: Cuz I Love You Too Tour,"['Lizzo', 'Ari Lennox']",2019-09-22,20:00:00,New York,NY,64.5,64.5
Pat Benatar and Neil Giraldo,['Pat Benatar & Neil Giraldo'],2019-08-21,20:00:00,Staten Island,NY,56.0,56.0
Luke Bryan: Sunset Repeat Tour 2019,"['Luke Bryan', 'Cole Swindell', 'Jon Langston']",2019-09-12,19:00:00,Bethel,NY,37.5,37.5
Bad Company,['Bad Company'],2019-08-20,19:00:00,Lewiston,NY,N/A,N/A
Shakey Graves & Dr. Dog,"['Shakey Graves', 'Dr. Dog', 'Liz Cooper & The Stampede']",2019-09-15,18:30:00,New York,NY,40.0,40.0
"Dionne Warwick, Peabo Bryson, Deniece Williams/""A Night Of Class Tour""","['Dionne Warwick', 'Peabo Bryson', 'Deniece Williams']",2019-08-31,20:00:00,New York,NY,91.0,91.0
Hammer's House Party,"['Hammer’s House Party', 'MC Hammer', 'Sir Mix-A-Lot', 'Sisqo', 'Kid N Play', 'Tone Loc']",2019-08-16,19:00:00,Niagara Falls,NY,25.0,25.0
"""A Night Of Class"" Starring Dionne Warwick","['Dionne Warwick', 'Peabo Bryson', 'Deniece Williams']",2019-08-30,20:00:00,Brooklyn,NY,85.0,85.0
Umphrey's McGee,"[""Umphrey's McGee"", 'Big Something']",2019-08-31,19:00:00,Huntington,NY,N/A,N/A
Miyavi,['Miyavi'],2019-08-19,20:00:00,New York,NY,35.0,35.0
Tesla,"['Tesla', 'Voices of Extreme', 'Bad Marriage']",2019-09-17,20:00:00,Huntington,NY,35.0,35.0
Barry Manilow,['Barry Manilow'],2019-08-16,20:00:00,New York,NY,99.0,99.0
Beck & Cage The Elephant,"['Beck', 'Cage the Elephant']",2019-08-17,17:00:00,Forest Hills ,NY,N/A,N/A
"Knotfest Roadshow featuring: Slipknot, Volbeat, Gojira, Behemoth","['Slipknot', 'Volbeat', 'Gojira', 'Behemoth']",2019-08-21,17:30:00,Saratoga Springs,NY,39.5,39.5
Creedence Clearwater Revisited,['Creedence Clearwater Revisited'],2019-09-13,20:00:00,Brookville,NY,36.0,36.0
"grandson: the end of the beginning with nothing, nowhere",['grandson'],2019-09-18,19:00:00,New York,NY,25.0,25.0
Beach Boys,['The Beach Boys'],2019-08-21,20:15:00,Chautauqua,NY,N/A,N/A
Matt Maeson,['Matt Maeson'],2019-08-22,20:00:00,Albany,NY,15.0,15.0
Yacht Rock @ Tilles,"['Ambrosia', 'John Ford Coley', 'Peter Beckett', 'Robbie Dupree']",2019-09-07,20:00:00,Brookville,NY,36.0,36.0
Social Distortion,['Social Distortion'],2019-08-27,17:00:00,Buffalo,NY,N/A,N/A
Foreigner,['Foreigner'],2019-08-21,19:00:00,Watertown,NY,N/A,N/A
Three Dog Night,['Three Dog Night'],2019-09-21,20:00:00,Albany,NY,49.75,49.75
Marianas Trench - Suspending Gravity Tour,['Marianas Trench'],2019-09-15,19:00:00,Brookville,NY,35.0,35.0
Bad Suns,['Bad Suns'],2019-09-20,19:00:00,Albany,NY,20.0,20.0
Star Wars Live In Concert,['Star Wars Live In Concert'],2019-09-21,14:00:00,Brookville,NY,55.0,55.0
Jonas Brothers: Happiness Begins Tour,"['Jonas Brothers', 'Bebe Rexha', 'Jordan McGraw']",2019-08-27,19:30:00,Buffalo,NY,N/A,N/A
Star Wars Live In Concert,['Star Wars Live In Concert'],2019-09-21,20:00:00,Brookville,NY,55.0,55.0
Aquabats,['The Aquabats'],2019-09-14,18:00:00,Buffalo,NY,N/A,N/A
Brad Paisley Tour 2019,"['Brad Paisley', 'Chris Lane', 'Riley Green']",2019-08-30,19:30:00,Wantagh,NY,36.75,36.75
Phantogram,['Phantogram'],2019-08-31,20:00:00,Clifton Park,NY,N/A,N/A
Soulfly,['Soulfly'],2019-09-09,18:30:00,Clifton Park,NY,N/A,N/A
Three Dog Night,['Three Dog Night'],2019-09-21,20:00:00,Albany,NY,N/A,N/A
Mabel,['Mabel'],2019-08-15,19:30:00,New York,NY,N/A,N/A
Bars and Melody,['Bars and Melody'],2019-09-21,16:00:00,New York,NY,N/A,N/A
"This Wild Life, the Happy Fits, Rome Hero Foxes",['This Wild Life'],2019-09-19,19:30:00,Buffalo,NY,N/A,N/A
Game Of Thrones Live Concert Experience - Music By Ramin Djawadi,['Game of Thrones Live Concert Experience'],2019-09-14,20:00:00,Wantagh,NY,39.5,39.5
DANIEL CAESAR - CASE STUDY 01: TOUR,['Daniel Caesar'],2019-09-18,20:00:00,New York,NY,29.5,29.5
Rascal Flatts: Summer Playlist Tour 2019,"['Rascal Flatts', 'Jordan Davis', 'Morgan Evans']",2019-09-13,19:30:00,Darien Center,NY,32.25,32.25
Beast Coast:Escape from New York Tour w/Joey Bada$$ & Flatbush Zombies,"['Beast Coast', 'Joey Bada$$', 'Flatbush Zombies', 'The Underachievers', 'Kirk Knight', 'Nyck Caution', 'Powers Pleasant', 'CJ Fly']",2019-08-22,18:00:00,New York,NY,56.0,56.0
Alejandro Sanz - #LAGIRA,['Alejandro Sanz'],2019-08-31,19:30:00,New York,NY,66.0,66.0
Outlaw Music Festival,"['Outlaw Music Festival', 'Willie Nelson', 'Bonnie Raitt', 'Phil Lesh & Friends', 'Alison Krauss']",2019-09-08,14:30:00,Darien Center,NY,39.5,39.5
"Outlaw Music Festival: Willie Nelson, Bonnie Raitt & More","['Outlaw Music Festival', 'Willie Nelson', 'Bonnie Raitt', 'Alison Krauss', 'Brothers Osborne']",2019-09-07,14:30:00,Saratoga Springs,NY,26.5,26.5
Meek Mill & Future - The Legendary Nights Tour 2019,"['Meek Mill', 'Future', 'YG', 'Mustard', 'Megan Thee Stallion']",2019-09-11,19:00:00,Wantagh,NY,23.5,23.5
Keith Urban - 2019 DICK'S Sporting Goods Open,"['Keith Urban', ""DICK'S Sporting Goods Open""]",2019-08-16,08:00:00,Endicott,NY,75.0,75.0
Meek Mill & Future - The Legendary Nights Tour 2019,"['Meek Mill', 'Future', 'YG', 'Mustard', 'Megan Thee Stallion']",2019-09-14,19:00:00,Saratoga Springs,NY,25.0,25.0
Meek Mill & Future - The Legendary Nights Tour 2019,"['Meek Mill', 'Future', 'YG', 'Megan Thee Stallion', 'Mustard']",2019-09-15,19:00:00,Darien Center,NY,35.0,35.0
Maren Morris: GIRL The World Tour,"['Maren Morris', 'Kassi Ashton', 'Hailey Whitters']",2019-09-06,19:00:00,New York,NY,29.5,29.5
Brantley Gilbert: Not Like Us Tour,"['Brantley Gilbert', 'Michael Ray', 'Lindsay Ell']",2019-08-30,19:00:00,Darien Center,NY,30.5,30.5
Silvestre Dangond,['Silvestre Dangond'],2019-09-20,21:00:00,New York,NY,61.0,61.0
Angels and Airwaves,['Angels & Airwaves'],2019-09-17,19:30:00,New York,NY,N/A,N/A
Of Monsters And Men: FEVER DREAM TOUR,['Of Monsters and Men'],2019-09-05,20:00:00,New York,NY,42.5,42.5
4th Annual Freestyle Beach House,"['Freestyle Beach House Coney Island', 'TKA', 'Judy Torres', 'George Lamond', 'Rob Base', 'Sweet Sensation', 'Noel', 'Shannon', 'The Cover Girls', 'Cynthia', 'Johnny O', 'Nayobe', 'C-Bank', 'Lisette Melendez', 'Sammy Zone', 'Funk Flex']",2019-08-31,19:00:00,Brooklyn,NY,N/A,N/A
Finding Ashley Stewart 2019,"['Faith Evans', 'Loni Love', 'Kid Capri', 'Olivia Dope', 'Tiffany Flamer', 'Salt N Pepa']",2019-09-14,20:00:00,Brooklyn,NY,40.0,40.0
Soulfly,"['Soulfly', 'Incite']",2019-09-09,18:30:00,Clifton Park,NY,N/A,N/A
Morrissey,['Morrissey'],2019-09-07,18:30:00,Forest Hills,NY,N/A,N/A
Banks,['Banks'],2019-09-10,20:00:00,Brooklyn,NY,N/A,N/A
Chris Brown - Indigoat Tour 2019,"['Chris Brown', 'Tory Lanez', 'Ty Dolla $ign', 'Joyner Lucas', 'Yella Beezy']",2019-09-11,18:30:00,Albany,NY,39.5,39.5
Tim McGraw,['Tim McGraw'],2019-08-17,20:00:00,Niagara Falls,NY,55.0,55.0
Nas,['Nas'],2019-08-30,17:00:00,Buffalo,NY,N/A,N/A
Boyz II Men,"['Boyz II Men', 'En Vogue']",2019-08-22,20:00:00,Brooklyn,NY,N/A,N/A
Stone Temple Pilots,['Stone Temple Pilots'],2019-09-10,20:00:00,Clifton Park,NY,35.0,35.0
Banks,['Banks'],2019-09-07,21:00:00,Brooklyn,NY,N/A,N/A
"PnB Rock,  No Cap and Rylo Rodriguez  ",['PnB Rock'],2019-09-06,19:00:00,Poughkeepsie,NY,N/A,N/A
Natalia Lafourcade,['Natalia Lafourcade'],2019-09-03,20:00:00,New York,NY,45.0,45.0
Game Of Thrones Live Concert Experience - Music By Ramin Djawadi,['Game of Thrones Live Concert Experience'],2019-09-05,20:00:00,Syracuse,NY,19.5,19.5
Outlaw Music Festival w/ Willie Nelson,"['Outlaw Music Festival', 'Willie Nelson', 'Alison Krauss', 'Lukas Nelson and Promise of the Real', 'Nathaniel Rateliff & The Night Sweats']",2019-09-11,16:30:00,Forest Hills,NY,N/A,N/A
Banks,['Banks'],2019-09-08,20:00:00,Brooklyn,NY,N/A,N/A
Beck w/ Cage the Elephant,"['Beck', 'Cage the Elephant']",2019-08-17,17:00:00,Forest Hills,NY,N/A,N/A
Diljit Dosanjh,['Diljit Dosanjh'],2019-09-14,20:00:00,Uniondale,NY,47.5,47.5
Trombone Shorty & Orleans Avenue / Ben Harper & The Innocent Criminals,"['Trombone Shorty & Orleans Avenue', 'Ben Harper & The Innocent Criminals', 'Jessy Wilson']",2019-08-27,18:30:00,New York,NY,59.5,59.5
Rob Thomas,['Rob Thomas'],2019-08-16,20:00:00,Port Chester,NY,N/A,N/A
ThePianoGuys,['The Piano Guys'],2019-09-07,20:00:00,New York,NY,59.5,59.5
Beast Coast:Escape from New York Tour w/Joey Bada$$ & Flatbush Zombies,"['Beast Coast', 'Joey Bada$$', 'Flatbush Zombies', 'The Underachievers', 'Kirk Knight', 'Nyck Caution', 'Powers Pleasant', 'CJ Fly']",2019-08-23,18:00:00,New York,NY,56.0,56.0
Berlin,['Berlin'],2019-09-21,20:00:00,North Tonawanda,NY,N/A,N/A
Illenium: The Ascend Tour,['Illenium'],2019-09-19,19:00:00,Rochester,NY,45.0,45.0
Umphrey's McGee,"[""Umphrey's McGee""]",2019-09-01,19:00:00,Utica,NY,N/A,N/A
Built To Spill,['Built To Spill'],2019-09-16,20:00:00,Ithaca,NY,N/A,N/A
Stone Temple Pilots,['Stone Temple Pilots'],2019-09-10,20:00:00,Clifton Park,NY,N/A,N/A
Maze featuring Frankie Beverly,"['Maze featuring Frankie Beverly', 'The Whispers', 'Eric Benet']",2019-08-24,19:00:00,Brooklyn,NY,49.0,49.0
UB40 featuring Ali Campbell and Astro & Shaggy 40th Anniversary Tour,"['UB40 Featuring Ali Campbell and Astro', 'Shaggy', 'Steel Pulse']",2019-09-06,18:30:00,Brooklyn,NY,39.5,39.5
Gipsy Kings,['Gipsy Kings'],2019-09-14,20:00:00,New York,NY,80.0,80.0
Charlie Wilson,['Charlie Wilson'],2019-09-14,20:00:00,Brooklyn,NY,29.5,29.5
Lil Tjay,['Lil Tjay'],2019-08-29,20:00:00,Huntington,NY,20.0,20.0
Polo G,"['Polo G', 'Luh Kel']",2019-09-03,19:00:00,New York,NY,25.0,25.0
Gladys Knight,['Gladys Knight'],2019-08-27,20:00:00,Huntington,NY,N/A,N/A
"Sal ""The Voice"" Valentinetti - From America's Got Talent",['Sal Valentinetti'],2019-08-18,19:00:00,Huntington,NY,N/A,N/A
UB40 featuring Ali and Astro & Shaggy 40TH Anniversary Tour,"['UB40 Featuring Ali Campbell and Astro', 'Shaggy']",2019-09-07,19:30:00,White Plains,NY,26.5,26.5
The Gipsy Kings featuring Nicolas Reyes & Tonino Baliardo,['Gipsy Kings'],2019-09-10,20:00:00,Huntington,NY,N/A,N/A
Dominic Fike,['Dominic Fike'],2019-09-09,19:00:00,New York,NY,N/A,N/A
Chris Brown - Indigoat Tour 2019,"['Chris Brown', 'Tory Lanez', 'Ty Dolla $ign', 'Joyner Lucas', 'Yella Beezy']",2019-09-10,18:30:00,Buffalo,NY,N/A,N/A
Almost Queen: A Tribute to QUEEN-Freddie Mercury Birthday Celebration,['Almost Queen'],2019-09-07,19:00:00,New York,NY,29.0,29.0
Kool & the Gang,['Kool & the Gang'],2019-08-16,20:00:00,Yonkers,NY,59.95,59.95
Polo G,['Polo G'],2019-09-07,19:00:00,Poughkeepsie,NY,25.0,25.0
Borderland Festival,"['Borderland Festival', ""Gov't Mule"", 'Greensky Bluegrass', 'Shakey Graves', 'Mavis Staples']",2019-09-21,N/A,East Aurora,NY,N/A,N/A
PnB Rock: TrapStar Turnt PopStar Tour,['PnB Rock'],2019-09-15,20:00:00,Huntington,NY,25.0,25.0
Travis Tritt with Little Texas,"['Travis Tritt', 'Little Texas']",2019-09-15,19:00:00,Westbury,NY,49.5,49.5
Sawyer Brown,['Sawyer Brown'],2019-09-13,20:00:00,Verona,NY,N/A,N/A
Mika,['Mika'],2019-09-13,20:00:00,Brooklyn,NY,N/A,N/A
A Boogie Wit Da Hoodie,['A Boogie Wit Da Hoodie'],2019-08-29,19:30:00,Binghamton,NY,39.5,39.5
Smooth Cruise: Dave Koz & Friends Summer Horns,"['Gerald Albright', 'Kenny Lattimore', 'Aubrey Debauchery', 'Dave Koz']",2019-08-21,21:30:00,New York,NY,N/A,N/A
Smooth Cruise: Dave Koz & Friends Summer Horns,"['Gerald Albright', 'Kenny Lattimore', 'Aubrey Debauchery', 'Dave Koz']",2019-08-21,18:30:00,New York,NY,N/A,N/A
Midland Band,['Midland'],2019-09-17,20:00:00,New York,NY,N/A,N/A
Mabel,['Mabel'],2019-08-15,19:30:00,New York,NY,N/A,N/A
Bone Thugs N Harmony,['Bone Thugs-N-Harmony'],2019-08-21,20:00:00,Brooklyn,NY,N/A,N/A
Lyfe Jennings,['Lyfe Jennings'],2019-08-31,19:30:00,New York,NY,35.55,35.55
Koffee,['Koffee'],2019-09-11,20:00:00,Brooklyn,NY,N/A,N/A
Polo G,['Polo G'],2019-09-07,19:00:00,Poughkeepsie,NY,N/A,N/A
Bone Thugs N Harmony,['Bone Thugs-N-Harmony'],2019-08-25,20:00:00,Albany,NY,N/A,N/A
